Job Title,Position,Company,Job Type,Skill,Work Type,Industry Type,Seniority,City,Province,Min Salary,Max Salary
Binance Accelerator Program - Data Analyst (Risk),Data Analyst,Binance,Full-Time,"Python, Sql",Remote,Cryptocurrency Exchange,ANY,Remote,Undef,113750.0,140988.0
Business Analyst,Business Analyst,Canadian Nuclear Laboratories,Full-Time,"Power Bi, Power BI, Excel",Remote,Research,ANY,Remote,Undef,79185.0,97450.0
Geophysicist/Data Analyst,Data Analyst,Sander Geophysics Limited,Full-Time,Undef,In-Person,Others,ANY,Ottawa,ON,116721.0,121521.0
Business Intelligence Data Engineer,Data Engineer,"Maximus Services, LLC",Full-Time,"Fabric, Power BI, Sql, Machine Learning, Genesys, Python, R, Database",In-Person,Service,ANY,Toronto,ON,87875.0,105000.0
"Business Intelligence Specialist, Ft",Business Analyst,Niagara Health System,Full-Time,"Azure, Power BI, SQL, Aws",In-Person,Healthcare,Senior,Niagara,ON,115211.0,130332.0
Continuous Improvement Analyst,Others Analyst,IMP Group,Full-Time,Excel,In-Person,Others,ANY,Abbotsford,BC,52215.0,102460.0
It Business Process Analyst,IT Analyst,Ground Effects,Full-Time,"C#, Javascript, Sql, Database",In-Person,Others,ANY,Windsor,ON,68458.0,108140.0
Computer Programmer/Analyst,Programmer,The City of Vancouver,Full-Time,"Database, Sql, Power Platform, Ssis, Azure, Ssrs, Git, .Net, Python, Javascript",In-Person,Technology,ANY,Vancouver,BC,91145.0,107702.0
"Senior Developer, Business Intelligence",Business Analyst,Ontario Health,Full-Time,"Power Bi, Power Platform, Ssis, Sql, Big Data, Sas, Ssrs, Azure, Python, R",In-Person,Healthcare,Senior,Toronto,ON,79419.0,123037.0
Opgt Mod – One (1) Business Analyst – Senior,Business Analyst,Softline Technology,Full-Time,"Sql, Gap, Power BI",In-Person,Technology,Senior,Toronto,ON,87528.0,103356.0
Business Analyst/Quality Assurance Analyst,IT Analyst,DLL,Full-Time,"Jira, Excel, Reason, Database",In-Person,Others,ANY,Burlington,ON,75898.0,113847.0
